,principal component 1,principal component 2,track_name
0,-1.8755877849945952,1.0166380383484166,Chiraq - LUM!X & Myhr Remix
1,2.3734393561649516,0.1880637053447237,Stuck on You
2,0.026469200059475645,-0.0802360173435358,Toma
3,-0.7029331437028622,-0.010821499016193304,Miss You Now
4,-0.7906239678013847,-0.27622152023098384,I Don't Care Who Sees
5,-0.3486007128836562,-1.3591549982891853,single play
6,-1.3302254961765423,-0.1849009588351415,Girls Go Wild
7,-1.4449986303537017,-0.1606213428779416,El Doble Dos (En Vivo)
8,-1.3838029912948084,0.01880118499226476,Savage 2.0 - HIGHSOCIETY Remix
9,1.3456818375012884,-1.3119565228174437,Dreams
10,-2.13582225652254,2.95208659037075,Outbreak
11,2.810054201815143,-0.7645568116422267,"Symphony No. 40 in G Minor, K. 550: III. Menuetto. Allegretto - Trio"
12,-1.8576323128999703,-0.7294485223575385,Range Rovers (feat. Joey Trap)
13,-0.5411313115337122,0.8706275867027563,Mauvais présage - Edit
14,-0.3064717211076017,1.1338470657277302,I'll Never Know
15,2.700764039047295,-0.15527839008433125,Gathering Gems
16,-1.6274672300317654,0.11576687134348851,The Jam - Original Mix
17,-0.05201960061959484,-0.4586949549157946,$hop$tar
18,2.0622618127901995,5.116111531802932,Bobbing Waves
19,1.0669426291211623,-0.3448601463444999,Radio On
20,-1.5584310897371008,-0.07063222951685579,Riot
21,2.86268284140626,-0.7917327873769182,Truce
22,-1.443502343627517,1.669118117100719,Upside Down (feat. Rancore)
23,2.7945502038018852,-0.5504760659056699,"Bastien und Bastienne, K. 50 (Original 1768 Version): Intrada"
24,3.542401791456055,-0.489732396912438,Binaural Beats for Relaxation
25,-1.5004485249827844,-1.1189595524501765,Tiff
26,-1.5779416117414835,-0.38377617543575954,Go Get It (feat. Deltrice)
27,-1.0636111723738932,0.053996352345838765,Era Tuya
28,0.9493701085606303,-0.7892456817370003,Step 10 : Aint No Perfect
29,3.2870734962791293,0.28133310399504646,"Der fliegende Holländer, WWV 63, Act II: Interlude (Live)"
30,0.4246298300707261,-1.1973357097579667,Game Winner
31,-0.8276686929296265,-0.14414797148122244,Demawa
32,0.2378899738559673,0.26339633677386093,"King Herod's Song - From ""Jesus Christ Superstar"""
33,0.15197271778644383,-0.652857485404986,Cooking With Grease
34,0.8940425016621271,0.21742661278411524,Day of the Star
35,-0.6673355853644806,-0.7589204048840306,Cover It With Kisses
36,1.3728039724549042,-0.5016299809688534,Indigo Night
37,-1.8198737626136117,2.7166999126797378,Loath
38,-1.224697971989162,0.49038908231608996,Bandida
39,-0.15148980224950492,-0.6127963437684609,Different Women
40,0.04788367893726884,1.0613563508318637,Small Room (ABGT269) - Tinlicker Remix
41,0.7312732913612014,1.3257888542340617,Hear My Train a Comin'
42,0.12385803105107808,-0.9146249333546654,Mi Linda Esposa
43,-0.5486656581909262,-1.2340117651791767,Yo Fui el Elegante
44,3.864594412351906,-0.06897600467459584,"Symphony No. 4 in B-Flat Major, Op. 60 (Arr. P. Kim for Piano): II. Adagio"
45,0.43881435326332335,0.07845879339139311,Play It by Heart
46,-1.736735207284164,-0.7469232248794222,4Real
47,0.025360124248731856,-0.5589790679888014,Think About It
48,-1.8316276779789504,-0.7299500164525379,Shooter
49,0.8658302645896072,5.530278763796964,Under Shelter Rain
50,-0.2368820498433873,-0.4430389147026407,All My Friends
51,-0.9536230156046325,-0.5564434634294434,Two Goats
52,0.15870621140223198,-0.975696036123651,Pizza Angel
53,-1.9842946339783682,-1.6572900153018129,Push Up (feat. Yung Bans & SmokePurpp)
54,-1.729294730183363,-1.0918215833693685,Texas Bama
55,-0.3583482004749904,0.1844422573422157,Rose Red Violent Blue (This Song Is Dumb & So Am I) - Acoustic
56,-0.8006318164696127,1.3680134541035445,Stay
57,-1.4540116642832854,0.7757041458022336,Sequals of Forgotten Wars
58,-0.941093510224543,-0.4596677128153095,Start
59,-1.2686711040477545,-0.534093420974899,Moment (feat. Wiz Khalifa)
60,-0.8353049293672437,0.5485180287567836,Magnetic North (Live at Summer Breeze 2015)
61,0.9299085542919783,-0.21497752694142028,Careful
62,-1.0173079098197446,-0.1418278390670117,Stay Up
63,-1.5105084727272173,0.6314699089846048,Bag
64,-0.5009542289366368,0.689588052635121,Infinito (ASOT 863)
65,2.4776026663692563,-0.6963203307629124,"Weihnachts-Oratorium, BWV 248, Pt. 4: Wohlan, dein Name soll allein"
66,0.4705918400675011,-0.6763164359170102,That's the way it is
67,0.2072686332641205,0.35188423290595805,Far Away
68,-0.4708006011766802,-0.16724471796608129,No Hablo Por Hablar
69,-2.0635996224288617,-0.8010629633696196,Strip (feat. Kolten Perine)
70,0.12601369474963062,0.4095427645629608,Wings Of An Angel
71,0.09370204317388876,1.098851187563837,Deaf Ears Blind Eyes
72,-1.440643504565319,-0.7716100638486213,Callgirl
73,-1.2314872730829587,-1.705214496597723,Run up a Check (feat. Gu Mitch)
74,-1.541522076583364,-0.01809186934409602,High
75,3.5088318015893503,0.5298586989749957,Ocean With Meditation Tone
76,4.048272652693625,0.5663158014839405,"Archive, Pt. VII"
77,0.9441453575409824,-0.1897933897002226,Only Home I've Ever Known
78,-1.8550485589079975,-0.2039258585305379,Watch
79,-0.16669987145539766,0.290332710649743,No - Callie Reiff Remix
80,-0.451787515793828,0.6793822693602751,Supernature
81,2.2996684979376925,-1.4212789779437718,"Violin Concerto No. 3 in G Major, K. 216 ""Strassburg"": II. Adagio"
82,-1.4456026455642221,-0.6102295924109367,Fruit d'mon époque
83,1.2603494808767048,-0.21566045995995287,Float
84,2.70778834090316,0.06894061366652257,"Etude No. 8, Op. 25 (Frédéric Chopin)"
85,-1.477935609676325,-1.0559963833401076,Breaking Bad (feat. Lil Reek)
86,-1.4713701029627144,0.25396939344725655,Up And Down
87,0.6808881272694925,-0.47331405504935137,Defender (Live)
88,-0.1511777492223618,0.9656840745022389,Big City
89,-0.7163623833951795,0.0325224169670534,Rush
90,-1.5950902291917617,1.5591780395882329,Silk & Lace
91,-1.4111898095003172,-0.6282087969882009,101 Dalmatians
92,2.9082604144207496,0.9613509160091701,Brahm's Lullaby (Instrumental Version)
93,1.114999871773014,-0.46893215208010025,Peach Tree
94,-0.5206773768218077,-0.9128131336430768,She Don't Lose (feat. YG)
95,1.4125198982865488,-1.3626377887699408,Sam Stone
96,0.9656288081859795,-1.1722293541763655,Los Idolos No Tienen Poder
97,3.4431305796754703,-0.30768191229045533,Binaural Beats and Ambient Music for Sleeping
98,-1.7303642507478787,1.5877811637630015,Spotlight
99,-1.0772904360844295,-0.5676362576534474,Bajemos La Tensión
